OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
1,9,UTTAR PRADESH,1,SAHARANPUR,1,Behat,1,SAHARANPUR,901,,1.60358176479,0.09585796368,country:in/state:up,UP,country:in/state:up/assembly-constituency:1
2,9,UTTAR PRADESH,1,SAHARANPUR,2,Nakur,2,KAIRANA,902,,1.37949937184,0.06464243668,country:in/state:up,UP,country:in/state:up/assembly-constituency:2
1,9,UTTAR PRADESH,1,SAHARANPUR,4,Saharanpur,1,SAHARANPUR,901,,1.38158181964,0.0320741283,country:in/state:up,UP,country:in/state:up/assembly-constituency:4
1,9,UTTAR PRADESH,1,SAHARANPUR,3,Saharanpur Nagar,1,SAHARANPUR,901,,0.33308155619,0.00441182182,country:in/state:up,UP,country:in/state:up/assembly-constituency:3
1,9,UTTAR PRADESH,1,SAHARANPUR,6,Rampur Maniharan(SC),1,SAHARANPUR,901,,1.35226802656,0.0490512339,country:in/state:up,UP,country:in/state:up/assembly-constituency:6
1,9,UTTAR PRADESH,1,SAHARANPUR,5,Deoband,1,SAHARANPUR,901,,1.40251443741,0.04141513766,country:in/state:up,UP,country:in/state:up/assembly-constituency:5
2,9,UTTAR PRADESH,1,SAHARANPUR,7,Gangoh,2,KAIRANA,902,,1.57217593799,0.05934344704,country:in/state:up,UP,country:in/state:up/assembly-constituency:7
5,9,UTTAR PRADESH,3,BIJNOR,17,Najibabad,5,NAGINA (SC),905,,1.28845418335,0.05397539874,country:in/state:up,UP,country:in/state:up/assembly-constituency:17
6,9,UTTAR PRADESH,3,BIJNOR,19,Barhapur,6,MORADABAD,906,,2.34807386934,0.09013702358,country:in/state:up,UP,country:in/state:up/assembly-constituency:19
4,9,UTTAR PRADESH,2,MUZAFFARNAGAR,13,Purqazi (SC),4,BIJNOR,904,,1.51880607376,0.05095721938,country:in/state:up,UP,country:in/state:up/assembly-constituency:13
2,9,UTTAR PRADESH,2,MUZAFFARNAGAR,8,Kairana,2,KAIRANA,902,,1.47848539231,0.05191600333,country:in/state:up,UP,country:in/state:up/assembly-constituency:8
2,9,UTTAR PRADESH,2,MUZAFFARNAGAR,9,Thana Bhawan,2,KAIRANA,902,,1.15197855801,0.04056986991,country:in/state:up,UP,country:in/state:up/assembly-constituency:9
3,9,UTTAR PRADESH,2,MUZAFFARNAGAR,12,Charthawal,3,MUZAFFARNAGAR,903,,1.63369781617,0.04724127062,country:in/state:up,UP,country:in/state:up/assembly-constituency:12
4,9,UTTAR PRADESH,3,BIJNOR,22,Bijnor,4,BIJNOR,904,,1.45872243696,0.06644618543,country:in/state:up,UP,country:in/state:up/assembly-constituency:22
